66 118 3
70 172 3
72 195 3
72 254 3
84 118 3
101 172 3
103 118 3
106 254 3
112 196 3
119 298 3
119 322 3
119 379 3
119 391 3
119 403 3
120 310 3
120 333 3
121 118 3
123 460 3
123 472 3
123 483 3
124 449 3
139 118 3
142 161 3
142 172 3
142 184 3
142 196 3
142 231 3
142 254 3
143 207 3
143 219 3
143 242 3
155 161 3
155 172 3
155 184 3
155 195 3
155 230 3
155 254 3
156 207 3
156 219 3
156 242 3
167 184 3
167 196 3
168 161 3
168 172 3
168 207 3
168 219 3
168 231 3
168 254 3
169 242 3
174 448 3
174 459 3
174 471 3
175 118 3
175 379 3
175 391 3
181 161 3
181 172 3
181 184 3
181 195 3
181 230 3
181 254 3
182 207 3
182 219 3
182 242 3
193 119 3
193 184 3
193 196 3
194 161 3
194 172 3
194 207 3
194 219 3
194 231 3
194 254 3
195 242 3
206 172 3
206 184 3
206 196 3
207 161 3
207 207 3
207 219 3
207 231 3
207 242 3
207 254 3
208 299 3
208 310 3
208 322 3
208 333 3
211 119 3
219 172 3
219 184 3
219 196 3
220 161 3
220 207 3
220 219 3
220 231 3
220 242 3
220 254 3
230 119 3
232 161 3
232 172 3
232 184 3
232 195 3
232 378 3
232 390 3
232 401 3
233 207 3
233 219 3
233 230 3
233 242 3
233 254 3
245 161 3
245 173 3
245 184 3
245 196 3
246 208 3
246 219 3
246 231 3
246 243 3
246 254 3
248 119 3
258 162 3
258 173 3
258 184 3
258 196 3
259 208 3
259 220 3
259 231 3
259 243 3
259 254 3
270 184 3
270 195 3
271 161 3
271 172 3
271 207 3
271 219 3
271 230 3
271 254 3
272 242 3
287 119 3
294 196 3
295 161 3
295 173 3
295 184 3
295 208 3
295 219 3
295 231 3
295 243 3
295 254 3
299 391 3
300 380 3
300 403 3
307 196 3
307 311 3
308 161 3
308 173 3
308 184 3
308 208 3
308 219 3
308 231 3
308 243 3
308 254 3
308 299 3
320 196 3
321 161 3
321 173 3
321 184 3
321 208 3
321 219 3
321 231 3
321 243 3
321 254 3
333 173 3
333 184 3
333 196 3
334 161 3
334 208 3
334 219 3
334 231 3
334 243 3
334 254 3
346 196 3
347 162 3
347 173 3
347 185 3
347 208 3
347 220 3
347 232 3
347 243 3
347 255 3
350 119 3
359 162 3
359 173 3
359 185 3
359 196 3
360 208 3
360 220 3
360 232 3
360 243 3
360 255 3
365 299 3
365 311 3
365 322 3
365 334 3
365 380 3
365 392 3
365 403 3
